claim_amount,historical_avg_amount,amount_deviation,claim_amount_zscore,claim_frequency_90d,days_since_last_claim,previous_claim_count,garage_repeat_count,document_mismatch_count,duplicate_indicator,invoice_reuse_indicator,policy_age_days,incident_to_claim_delay_days,is_suspicious
14994.513586181094,13812.11255007835,1182.401036102745,0.09853341967522875,0,161,0,0,0,0,0,1500,3,0
23950.396969245823,23705.18127708526,245.21569216056378,0.020434641013380314,0,348,0,0,0,0,0,1459,1,0
17388.9030075138,19160.310764558406,-1771.4077570446061,-0.1476173130870505,1,314,1,0,0,0,0,573,5,0
16725.79359099007,18670.613628061208,-1944.8200370711384,-0.16206833642259486,0,343,0,0,0,0,0,1665,1,0
133009.66350053687,7525.878871736953,125483.78462879991,10.456982052399992,2,12,7,1,2,0,1,186,29,1
38454.3192666295,42548.84662004794,-4094.527353418438,-0.34121061278486986,0,416,0,0,0,0,0,1826,3,0
18672.9689760188,19113.84140184375,-440.87242582494946,-0.03673936881874579,1,782,0,0,1,0,0,807,4,0
28616.626198927643,27788.370320656857,828.2558782707856,0.06902132318923214,0,419,0,0,0,0,0,1007,2,0
6278.491551956654,6945.268905868948,-666.7773539122945,-0.05556477949269121,0,182,0,0,0,0,0,1931,1,0
24853.04571590326,27711.406667000338,-2858.360951097078,-0.2381967459247565,0,699,0,0,0,0,0,449,1,0
128371.66627363792,28578.77572969298,99792.89054394494,8.316074211995412,3,45,6,0,1,1,1,68,21,1
31000.809607780026,34502.21725119695,-3501.407643416922,-0.2917839702847435,0,550,1,0,0,0,0,760,6,0
20648.289524466458,23606.97675586892,-2958.687231402462,-0.24655726928353852,0,188,0,1,0,0,0,454,2,0
31825.66792596394,33230.70332333108,-1405.0353973671408,-0.11708628311392841,0,704,0,0,0,0,0,272,9,0
21850.86754010497,20311.358126839692,1539.5094132652775,0.1282924511054398,0,605,2,0,0,0,0,1074,14,0
23633.786775324643,21841.221322023594,1792.5654533010493,0.1493804544417541,0,519,0,0,0,0,0,2121,3,0
30226.0830251577,33424.57658994881,-3198.4935647911116,-0.2665411303992593,1,466,0,1,0,0,0,1645,1,0
140777.81676837188,28334.10503788945,112443.71173048244,9.370309310873536,4,28,8,1,2,0,0,137,15,1
30124.126988744025,31716.793212962024,-1592.6662242179991,-0.13272218535149993,0,131,0,1,0,0,0,1379,2,0
20472.610035472342,19813.970869247354,658.639166224988,0.054886597185415664,0,296,0,0,0,0,0,2248,2,0
23911.477896624463,22037.162478684684,1874.3154179397789,0.15619295149498158,0,543,0,0,0,0,0,1700,16,0
132960.73150238575,19850.774775105812,113109.95672727993,9.425829727273328,3,5,2,2,2,0,0,146,59,1
25929.010510821478,27363.657654831582,-1434.647144010105,-0.11955392866750875,0,736,1,0,0,0,0,969,9,0
24030.614267487195,23507.336492960872,523.2777745263229,0.04360648121052691,0,399,0,0,0,0,0,251,7,0
149649.57554020308,30616.156206127605,119033.41933407547,9.919451611172956,2,64,6,2,3,1,0,157,49,1
26759.169320427187,27174.864145643238,-415.69482521605096,-0.03464123543467091,0,483,2,0,0,0,0,2481,1,0
15519.284268083013,13388.186989052589,2131.097279030424,0.177591439919202,0,152,2,0,0,0,0,1858,2,0
154822.89067998584,16486.39246206331,138336.49821792252,11.52804151816021,1,67,5,1,3,0,0,119,35,1
22996.035357477995,25368.43260628359,-2372.397248805595,-0.1976997707337996,0,358,0,0,0,0,0,265,2,0
35260.18881335821,38844.89207852383,-3584.703265165619,-0.2987252720971349,0,741,1,0,0,0,0,1652,4,0
124085.69348903092,18370.881500152125,105714.81198887879,8.8095676657399,4,47,2,1,1,1,1,47,23,1
31055.286720879252,27108.718619738516,3946.568101140736,0.3288806750950613,0,525,0,0,0,0,0,1343,5,0
11231.655281459465,12047.385445202171,-815.7301637427063,-0.06797751364522553,0,285,2,0,0,0,0,1805,6,0
24139.055882461427,21395.448741190306,2743.607141271121,0.22863392843926006,0,605,1,0,0,0,0,1127,1,0
19681.28308879089,18166.039092908894,1515.243995881996,0.12627033299016632,0,374,2,1,0,0,0,336,3,0
32942.54460588954,30021.859130164677,2920.685475724862,0.24339045631040518,1,740,0,0,0,0,0,548,7,0
18710.857579117866,16945.938556237008,1764.9190228808584,0.14707658524007153,0,506,1,0,0,0,0,2183,1,0
29458.622965600618,33550.21308407832,-4091.590118477703,-0.34096584320647527,0,777,0,0,1,0,0,2486,3,0
135016.2798456392,17288.512451731563,117727.76739390762,9.810647282825634,3,63,5,2,3,0,0,119,40,1
19533.53084581629,20069.432862823323,-535.9020170070326,-0.044658501417252715,0,500,0,0,0,0,0,1987,8,0
35672.3298690683,31956.76215948158,3715.5677095867213,0.3096306424655601,0,716,1,1,0,0,0,1210,5,0
7158.7391157704305,6312.101327926664,846.6377878437661,0.07055314898698051,0,184,0,0,0,0,0,1281,1,0
16421.187716417626,16010.864916582861,410.32279983476474,0.034193566652897064,0,318,2,0,0,0,0,1520,11,0
25600.110680686335,25574.18146058792,25.92922009841641,0.0021607683415347007,0,526,1,0,0,0,0,1239,3,0
44437.69139404123,42239.6823075654,2198.009086475824,0.18316742387298535,0,461,1,0,0,0,0,1342,6,0
20227.974481360834,18852.44945889071,1375.525022470123,0.1146270852058436,0,229,0,0,0,0,0,1813,2,0
169774.1900516166,23406.688339854158,146367.50171176245,12.197291809313537,3,22,4,1,2,0,0,31,36,1
28542.4218790526,31528.693889559305,-2986.2720105067056,-0.24885600087555879,0,717,0,0,0,0,0,521,5,0
30861.76713427844,32311.856174105367,-1450.0890398269257,-0.12084075331891048,0,659,0,0,0,0,0,1994,16,0
24673.5844805956,25504.936617392254,-831.3521367966532,-0.06927934473305443,0,276,1,0,0,0,0,205,4,0
29402.3785040055,25123.540897486986,4278.837606518515,0.3565698005432096,1,163,1,0,0,0,0,511,1,0
24666.561613136935,22342.62700654025,2323.9346065966856,0.19366121721639046,0,460,2,0,0,0,0,1129,1,0
20645.09679728179,23227.93287978446,-2582.836082502672,-0.215236340208556,0,668,0,0,0,0,0,2267,1,0
53503.08906132344,52994.09118490523,508.99787641820876,0.042416489701517394,0,301,0,0,0,0,0,1932,10,0
11204.90677917967,10947.835154193612,257.07162498605794,0.021422635415504827,0,132,1,0,0,0,0,1711,1,0
12491.516859254281,12778.046735059286,-286.52987580500485,-0.02387748965041707,0,344,0,0,0,0,0,1756,1,0
30925.322592043245,32926.25692921196,-2000.9343371687137,-0.16674452809739282,0,541,2,0,0,0,0,1901,1,0
14837.313774917093,16592.819577607537,-1755.5058026904444,-0.1462921502242037,0,511,2,0,1,0,0,2082,2,0
21583.340571511755,21979.028658484913,-395.6880869731576,-0.032974007247763136,0,718,0,0,0,0,0,1554,1,0
25012.67202849437,24571.0644872156,441.6075412787686,0.036800628439897384,0,237,0,0,0,0,0,1120,2,0
21533.568280239513,23869.898995819374,-2336.330715579861,-0.19469422629832175,1,164,1,0,0,0,0,1519,2,0
31481.062405788398,34695.30631210515,-3214.243906316755,-0.26785365885972956,1,564,2,0,0,0,0,1727,2,0
87198.4876679708,26787.717667690413,60410.77000028038,5.034230833356698,3,16,3,1,3,0,0,33,54,1
32752.975249600488,37030.60173990972,-4277.626490309231,-0.3564688741924359,0,141,1,0,0,0,0,1258,2,0
21366.075561995625,22212.116671668322,-846.0411096726966,-0.07050342580605805,0,663,0,0,0,0,0,334,4,0
31085.984887731163,30254.52659649119,831.4582912399746,0.06928819093666455,0,199,2,1,0,0,0,1671,2,0
11565.844531525841,12933.11684775893,-1367.2723162330894,-0.11393935968609079,1,459,0,0,0,0,0,1030,2,0
26768.47695168753,26574.112231695195,194.36471999233618,0.016197059999361347,0,318,0,0,0,0,0,1369,2,0
46154.48940279292,49183.918259507365,-3029.4288567144467,-0.2524524047262039,1,343,0,0,0,0,0,975,3,0
37270.57315656624,32408.91911401313,4861.654042553113,0.40513783687942606,0,787,0,0,0,0,0,867,2,0
25662.09806340687,25286.44658358165,375.6514798252174,0.03130428998543478,0,616,1,0,1,0,0,637,1,0
16348.558702248074,16247.158129246558,101.40057300151602,0.008450047750126335,0,302,1,0,0,0,0,2039,6,0
26111.437860048092,26082.9584213196,28.479438728492823,0.002373286560707735,1,755,1,0,0,0,0,828,2,0
22983.154758996836,24478.559530755734,-1495.4047717588983,-0.12461706431324153,0,722,0,0,0,0,0,2390,1,0
21365.960094466293,19391.588379487384,1974.3717149789081,0.16453097624824234,0,322,2,0,0,0,0,1169,1,0
13608.92830283593,14877.276774080587,-1268.348471244657,-0.10569570593705475,0,127,1,0,0,0,0,993,1,0
21488.427719181396,24263.164955724314,-2774.7372365429183,-0.2312281030452432,0,122,0,0,0,0,0,1294,1,0
41440.58911734995,35430.09320497781,6010.495912372135,0.5008746593643445,1,417,2,1,0,0,0,1831,3,0
22572.3504147894,22686.119087949482,-113.76867316008429,-0.009480722763340358,0,671,0,0,0,0,0,2121,1,0
